# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 09638
# Species         : Pogoniulus_scolopaceus
# Flight Category : maneuvering
# 
# === Morphological Measurements ===
# Wing Length      : 54.10 mm
# Secondary1       : 46.10 mm
# Kipps Distance   : 7.90 mm
# Hand-Wing Index  : 14.50
# Tail Length      : 32.20 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 1.174
# Pointedness Index: 0.1460
# Efficiency Index : 0.0212
# Wing Loading Proxy: 0.0364
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.2036  at x/c = 0.2738
# Max f/c          : 0.0602  at x/c = 0.3518
# Est. Reynolds    : 1.00e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939167  0.00009113
0.99866611  0.00021723
0.99781746  0.00037803
0.99684053  0.00057329
0.99573077  0.00080272
0.99448420  0.00106604
0.99309746  0.00136294
0.99156770  0.00169310
0.98989261  0.00205619
0.98807034  0.00245185
0.98609955  0.00287974
0.98397930  0.00333947
0.98170909  0.00383067
0.97928880  0.00435294
0.97671869  0.00490588
0.97399935  0.00548907
0.97113171  0.00610208
0.96811702  0.00674449
0.96495679  0.00741585
0.96165281  0.00811571
0.95820712  0.00884361
0.95462200  0.00959908
0.95089994  0.01038164
0.94704361  0.01119082
0.94305590  0.01202613
0.93893983  0.01288707
0.93469861  0.01377315
0.93033557  0.01468385
0.92585416  0.01561867
0.92125796  0.01657709
0.91655063  0.01755859
0.91173596  0.01856265
0.90681777  0.01958874
0.90179998  0.02063633
0.89668655  0.02170488
0.89148150  0.02279386
0.88618888  0.02390272
0.88081278  0.02503094
0.87535729  0.02617795
0.86982653  0.02734321
0.86422461  0.02852619
0.85855566  0.02972632
0.85282377  0.03094305
0.84703304  0.03217585
0.84118754  0.03342415
0.83529130  0.03468740
0.82934833  0.03596506
0.82336258  0.03725657
0.81733799  0.03856138
0.81127842  0.03987894
0.80518769  0.04120869
0.79906955  0.04255010
0.79292771  0.04390261
0.78676581  0.04526568
0.78058739  0.04663875
0.77439596  0.04802130
0.76819495  0.04941277
0.76198768  0.05081263
0.75577743  0.05222034
0.74956737  0.05363536
0.74336061  0.05505717
0.73716017  0.05648524
0.73096896  0.05791903
0.72478984  0.05935802
0.71862555  0.06080170
0.71247875  0.06224954
