# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 09368
# Species         : Zosterops_nigrorum
# Flight Category : maneuvering
# 
# === Morphological Measurements ===
# Wing Length      : 52.40 mm
# Secondary1       : 43.50 mm
# Kipps Distance   : 8.90 mm
# Hand-Wing Index  : 17.00
# Tail Length      : 37.80 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 1.205
# Pointedness Index: 0.1698
# Efficiency Index : 0.0289
# Wing Loading Proxy: 0.0319
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.2004  at x/c = 0.2724
# Max f/c          : 0.0598  at x/c = 0.3467
# Est. Reynolds    : 1.00e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939166  0.00009096
0.99866602  0.00021653
0.99781715  0.00037647
0.99683981  0.00057052
0.99572937  0.00079839
0.99448184  0.00105981
0.99309379  0.00135447
0.99156233  0.00168204
0.98988512  0.00204220
0.98806029  0.00243460
0.98608644  0.00285888
0.98396263  0.00331468
0.98168833  0.00380160
0.97926340  0.00431926
0.97668809  0.00486726
0.97396298  0.00544518
0.97108899  0.00605260
0.96806735  0.00668909
0.96489959  0.00735421
0.96158748  0.00804750
0.95813306  0.00876852
0.95453863  0.00951679
0.95080665  0.01029184
0.94693984  0.01109320
0.94294106  0.01192038
0.93881337  0.01277289
0.93455996  0.01365023
0.93018418  0.01455190
0.92568950  0.01547740
0.92107951  0.01642620
0.91635790  0.01739780
0.91152845  0.01839168
0.90659501  0.01940730
0.90156152  0.02044415
0.89643195  0.02150169
0.89121034  0.02257939
0.88590076  0.02367671
0.88050731  0.02479312
0.87503412  0.02592808
0.86948531  0.02708104
0.86386503  0.02825146
0.85817740  0.02943880
0.85242656  0.03064251
0.84661662  0.03186205
0.84075167  0.03309686
0.83483575  0.03434641
0.82887291  0.03561014
0.82286711  0.03688752
0.81682230  0.03817799
0.81074238  0.03948101
0.80463117  0.04079603
0.79849246  0.04212251
0.79232997  0.04345992
0.78614734  0.04480770
0.77994816  0.04616531
0.77373595  0.04753223
0.76751414  0.04890792
0.76128609  0.05029184
0.75505507  0.05168345
0.74882431  0.05308224
0.74259690  0.05448768
0.73637587  0.05589924
0.73016418  0.05731640
0.72396468  0.05873864
0.71778013  0.06016545
0.71161322  0.06159632
0.70546651  0.06303073
0.69934252  0.06446820
0.69324364  0.06590820
0.68717217  0.06735026
0.68113033  0.06879386
0.67512024  0.07023853
0.66914394  0.07168378
0.66320334  0.07312912
0.65730030  0.07457409
0.65143657  0.07601820
0.64561380  0.07746099
0.63983355  0.07890199
0.63409730  0.08034075
0.62840645  0.08177681
0.62276227  0.08320972
0.61716598  0.08463904
