# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 03681
# Species         : Dicaeum_igniferum
# Flight Category : maneuvering
# 
# === Morphological Measurements ===
# Wing Length      : 49.40 mm
# Secondary1       : 41.10 mm
# Kipps Distance   : 8.20 mm
# Hand-Wing Index  : 16.70
# Tail Length      : 25.50 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 1.202
# Pointedness Index: 0.1660
# Efficiency Index : 0.0277
# Wing Loading Proxy: 0.0471
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.2008  at x/c = 0.2725
# Max f/c          : 0.0599  at x/c = 0.3467
# Est. Reynolds    : 1.00e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939166  0.00009098
0.99866603  0.00021662
0.99781719  0.00037666
0.99683989  0.00057085
0.99572954  0.00079892
0.99448213  0.00106057
0.99309423  0.00135550
0.99156298  0.00168339
0.98988602  0.00204391
0.98806149  0.00243671
0.98608801  0.00286143
0.98396463  0.00331770
0.98169082  0.00380515
0.97926645  0.00432337
0.97669176  0.00487197
0.97396734  0.00545054
0.97109412  0.00605864
0.96807331  0.00669585
0.96490645  0.00736173
0.96159532  0.00805582
0.95814195  0.00877767
0.95454863  0.00952682
0.95081785  0.01030279
0.94695229  0.01110510
0.94295484  0.01193327
0.93882854  0.01278680
0.93457660  0.01366520
0.93020235  0.01456797
0.92570926  0.01549460
0.92110093  0.01644457
0.91638103  0.01741738
0.91155335  0.01841249
0.90662174  0.01942939
0.90159013  0.02046754
0.89646250  0.02152642
0.89124288  0.02260549
0.88593534  0.02370421
0.88054397  0.02482205
0.87507290  0.02595847
0.86952626  0.02711293
0.86390818  0.02828487
0.85822279  0.02947376
0.85247423  0.03067905
0.84666660  0.03190019
0.84080397  0.03313665
0.83489042  0.03438786
0.82892996  0.03565328
0.82292657  0.03693237
0.81688419  0.03822457
0.81080671  0.03952935
0.80469796  0.04084616
0.79856172  0.04217445
0.79240170  0.04351369
0.78622156  0.04486332
