# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 08845
# Species         : Leptopogon_rufipectus
# Flight Category : maneuvering
# 
# === Morphological Measurements ===
# Wing Length      : 67.00 mm
# Secondary1       : 55.20 mm
# Kipps Distance   : 11.30 mm
# Hand-Wing Index  : 17.00
# Tail Length      : 61.10 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 1.214
# Pointedness Index: 0.1687
# Efficiency Index : 0.0287
# Wing Loading Proxy: 0.0199
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.2004  at x/c = 0.2724
# Max f/c          : 0.0598  at x/c = 0.3467
# Est. Reynolds    : 1.00e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939166  0.00009096
0.99866602  0.00021653
0.99781715  0.00037647
0.99683981  0.00057052
0.99572937  0.00079839
0.99448184  0.00105981
0.99309379  0.00135447
0.99156233  0.00168204
0.98988512  0.00204220
0.98806029  0.00243460
0.98608644  0.00285888
0.98396263  0.00331468
0.98168833  0.00380160
0.97926340  0.00431926
0.97668809  0.00486726
0.97396298  0.00544518
0.97108899  0.00605260
0.96806735  0.00668909
0.96489959  0.00735421
0.96158748  0.00804750
0.95813306  0.00876852
0.95453863  0.00951679
0.95080665  0.01029184
0.94693984  0.01109320
0.94294106  0.01192038
0.93881337  0.01277289
0.93455996  0.01365023
0.93018418  0.01455190
0.92568950  0.01547740
0.92107952  0.01642620
0.91635790  0.01739780
0.91152845  0.01839168
0.90659501  0.01940730
0.90156152  0.02044415
0.89643195  0.02150169
0.89121034  0.02257939
0.88590076  0.02367671
0.88050731  0.02479312
0.87503412  0.02592808
0.86948531  0.02708104
0.86386503  0.02825146
0.85817740  0.02943880
0.85242657  0.03064251
0.84661663  0.03186205
0.84075167  0.03309686
0.83483576  0.03434641
0.82887291  0.03561014
0.82286711  0.03688752
0.81682231  0.03817799
0.81074238  0.03948101
0.80463117  0.04079603
0.79849247  0.04212251
0.79232997  0.04345992
0.78614735  0.04480770
0.77994817  0.04616531
0.77373596  0.04753223
0.76751415  0.04890792
0.76128609  0.05029184
0.75505509  0.05168345
0.74882432  0.05308224
0.74259691  0.05448768
0.73637589  0.05589924
0.73016420  0.05731640
0.72396470  0.05873864
0.71778015  0.06016545
0.71161324  0.06159632
0.70546654  0.06303073
0.69934255  0.06446820
0.69324367  0.06590820
0.68717220  0.06735026
0.68113037  0.06879386
0.67512029  0.07023853
0.66914398  0.07168378
0.66320340  0.07312912
0.65730036  0.07457409
0.65143663  0.07601820
0.64561387  0.07746099
0.63983363  0.07890199
0.63409739  0.08034075
0.62840654  0.08177681
0.62276237  0.08320972
0.61716608  0.08463904
