# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 08445
# Species         : Cantorchilus_zeledoni
# Flight Category : maneuvering
# 
# === Morphological Measurements ===
# Wing Length      : 57.40 mm
# Secondary1       : 53.60 mm
# Kipps Distance   : 5.20 mm
# Hand-Wing Index  : 8.80
# Tail Length      : 53.10 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 1.071
# Pointedness Index: 0.0906
# Efficiency Index : 0.0080
# Wing Loading Proxy: 0.0202
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.2107  at x/c = 0.2771
# Max f/c          : 0.0611  at x/c = 0.3518
# Est. Reynolds    : 1.00e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939170  0.00009150
0.99866633  0.00021870
0.99781818  0.00038135
0.99684219  0.00057919
0.99573394  0.00081194
0.99448958  0.00107931
0.99310583  0.00138100
0.99157994  0.00171668
0.98990967  0.00208601
0.98809328  0.00248866
0.98612945  0.00292426
0.98401732  0.00339243
0.98175644  0.00389280
0.97934672  0.00442495
0.97678846  0.00498849
0.97408228  0.00558301
0.97122913  0.00620806
0.96823026  0.00686321
0.96508721  0.00754801
0.96180177  0.00826202
0.95837597  0.00900476
0.95481210  0.00977577
0.95111262  0.01057455
0.94728021  0.01140064
0.94331772  0.01225353
0.93922818  0.01313272
0.93501475  0.01403771
0.93068074  0.01496798
0.92622957  0.01592302
0.92166480  0.01690231
0.91699006  0.01790532
0.91220907  0.01893151
0.90732565  0.01998036
0.90234366  0.02105132
0.89726704  0.02214385
0.89209975  0.02325741
0.88684580  0.02439144
0.88150924  0.02554539
0.87609412  0.02671872
0.87060450  0.02791086
0.86504446  0.02912127
0.85941808  0.03034937
0.85372940  0.03159461
0.84798248  0.03285643
0.84218133  0.03413427
0.83632995  0.03542757
0.83043229  0.03673576
0.82449227  0.03805828
0.81851377  0.03939456
0.81250060  0.04074405
0.80645655  0.04210619
0.80038532  0.04348041
0.79429058  0.04486615
0.78817591  0.04626286
0.78204483  0.04766998
0.77590080  0.04908695
0.76974720  0.05051322
0.76358732  0.05194823
0.75742439  0.05339145
0.75126157  0.05484231
0.74510190  0.05630028
0.73894837  0.05776481
0.73280387  0.05923536
0.72667121  0.06071140
