# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 08729
# Species         : Conopias_trivirgatus
# Flight Category : generalist
# 
# === Morphological Measurements ===
# Wing Length      : 65.00 mm
# Secondary1       : 52.60 mm
# Kipps Distance   : 12.40 mm
# Hand-Wing Index  : 19.10
# Tail Length      : 51.20 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 1.236
# Pointedness Index: 0.1908
# Efficiency Index : 0.0364
# Wing Loading Proxy: 0.0241
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.1978  at x/c = 0.2711
# Max f/c          : 0.0595  at x/c = 0.3467
# Est. Reynolds    : 1.00e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939165  0.00009081
0.99866594  0.00021593
0.99781689  0.00037511
0.99683919  0.00056810
0.99572820  0.00079462
0.99447986  0.00105438
0.99309071  0.00134709
0.99155783  0.00167241
0.98987883  0.00203003
0.98805184  0.00241959
0.98607542  0.00284074
0.98394862  0.00329311
0.98167089  0.00377633
0.97924206  0.00428999
0.97666238  0.00483371
0.97393243  0.00540706
0.97105310  0.00600963
0.96802563  0.00664099
0.96485154  0.00730070
0.96153260  0.00798831
0.95807086  0.00870336
0.95446859  0.00944541
0.95072830  0.01021397
0.94685267  0.01100856
0.94284460  0.01182872
0.93870713  0.01267394
0.93444349  0.01354374
0.93005701  0.01443762
0.92555119  0.01535507
0.92092962  0.01629558
0.91619601  0.01725864
0.91135415  0.01824373
0.90640790  0.01925034
0.90136121  0.02027793
0.89621808  0.02132599
0.89098256  0.02239398
0.88565874  0.02348137
0.88025072  0.02458763
0.87476266  0.02571221
0.86919869  0.02685459
0.86356297  0.02801423
0.85785967  0.02919057
0.85209291  0.03038309
0.84626683  0.03159124
0.84038553  0.03281448
0.83445309  0.03405226
0.82847355  0.03530405
0.82245091  0.03656931
0.81638912  0.03784748
0.81029210  0.03913803
0.80416369  0.04044043
0.79800770  0.04175413
0.79182786  0.04307859
0.78562783  0.04441328
0.77941121  0.04575766
0.77318153  0.04711121
0.76694225  0.04847338
0.76069674  0.04984366
0.75444829  0.05122152
0.74820012  0.05260643
0.74195536  0.05399787
0.73571705  0.05539532
0.72948816  0.05679827
0.72327153  0.05820620
0.71706997  0.05961861
0.71088615  0.06103498
0.70472267  0.06245482
0.69858204  0.06387763
0.69246666  0.06530291
