# Bird-inspired Airfoil Bézier Control Points
# Generated from AVONET morphological database
#
# Species: Phylloscopus_ogilviegranti
# Flight Category: maneuvering
#
# === Morphological Parameters ===
# Wing Length: 52.00 mm
# Secondary1: 43.60 mm
# Kipps Distance: 8.10 mm
# Hand-Wing Index: 15.70
# Tail Length: 41.40 mm
# Aspect Ratio: 1.193
# Pointedness Index: 0.1558
#
# === Airfoil Geometric Properties ===
# Max Thickness/Chord: 0.1274
# Max Thickness Position: 0.3406
# Max Camber/Chord: 0.0586
# Max Camber Position: 0.3674
# Leading Edge Radius: 0.0358
# LE Droop: 0.0049
# Trailing Edge Thickness: 0.0020
# Estimated Reynolds Number: 1.00e+04
#
# Total Upper CP: 12
# Total Lower CP: 12
#
# UPPER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
UPPER,0,0.00000000,0.00000000
UPPER,1,0.01072516,0.06921094
UPPER,2,0.04290063,0.11838896
UPPER,3,0.08937631,0.14566767
UPPER,4,0.29630460,0.17839238
UPPER,5,0.34058000,0.18603878
UPPER,6,0.38485540,0.17329478
UPPER,7,0.38941100,0.13761158
UPPER,8,0.49744000,0.08549216
UPPER,9,0.88000000,0.03246273
UPPER,10,0.98500000,0.00200000
UPPER,11,1.00000000,0.00000000
#
# LOWER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
LOWER,0,0.00000000,0.00000000
LOWER,1,0.01072516,-0.04144263
LOWER,2,0.04290063,-0.02027123
LOWER,3,0.08937631,-0.04695976
LOWER,4,0.29630460,-0.04845083
LOWER,5,0.34058000,-0.06884123
LOWER,6,0.38485540,-0.04080443
LOWER,7,0.38941100,0.00252517
LOWER,8,0.49744000,0.01848964
LOWER,9,0.88000000,0.00955209
LOWER,10,0.98500000,-0.00100000
LOWER,11,1.00000000,0.00000000
